,0
0,18900.169702256215
1,18755.41172350961
2,18612.31640542672
3,18470.64515413899
4,18330.807008605894
5,18191.330241906435
6,18051.207421748793
7,18121.05921869451
8,18348.178320998133
9,18578.228558051273
10,18811.314422248914
11,19047.045777609117
12,19288.056445132457
13,19531.23171481583
14,19777.60303047182
15,20027.22324103737
16,20285.543870660436
17,20536.43761224414
18,20795.91469844396
19,21058.942136557067
20,21325.42929995852
21,21595.362140373847
22,21869.027337240463
23,22146.127063575615
24,22427.074429191518
25,22711.602384878548
26,23000.01109178375
27,23292.13817341512
28,23588.255330454052
29,23888.24710131773
30,24192.765652210444
31,24497.799149119077
32,24812.394215879816
33,25128.69811165801
34,25449.215326387814
35,25776.647372347586
36,26100.467377596713
37,26437.856204937034
38,26774.704721596878
39,27117.18164703167
40,27464.362574614555
41,27813.927643421466
42,24394.6986556352
43,28508.589138643623
44,28760.891864021516
45,29129.328733225968
46,29505.06974280518
47,29885.90991866237
48,30271.918545603083
49,30663.1722833929
50,31059.74671356461
51,31461.74180640203
52,31868.89520542218
53,32282.188099070318
54,32700.835037748904
55,33142.01860161881
56,33667.54964588252
57,34204.7979547333
58,34753.75257740075
59,35315.84916490697
60,35890.49451964853
61,36485.37503707149
62,25996.658122722634
63,37723.69157873309
64,38601.45016212846
65,40167.91767208764
66,41802.49224439709
67,17644.899703387346
68,27842.34825198989
69,18424.79106105634
70,18885.972354721816
71,19614.00694687832
72,20366.589423933805
73,21121.042256794728
74,21767.16331614166
75,22282.52357983643
76,22809.628403332605
77,23350.8083544498
78,23905.921791840585
79,30759.78523318001
80,24468.42127292934
81,25267.39168892592
82,25620.54800258759
83,26247.09135440542
84,26882.272095017226
85,27527.340367538884
86,28183.640215336705
87,28825.946244239145
88,29525.842775411642
89,30243.750844429735
90,31027.2277862925
91,49420.447947732464
92,32179.380398333487
93,48482.87177339341
94,32350.23690242883
95,33218.25696738501
96,69594.55588195058
