,0
0,112246.06617205494
1,105111.00588943315
2,105111.2325028617
3,105111.21893203033
4,104275.57831532025
5,112237.69787687922
6,112238.77014168006
7,112238.63561813574
8,112238.76177508468
9,104249.72123529717
10,112277.21626195707
11,112238.77193515965
12,112238.76869445083
13,112238.7638370768
14,112238.41050840449
15,111722.74319234221
16,104249.59731895037
17,112238.76902143924
18,112238.70536298612
19,112238.76288686122
20,112238.75994748283
21,112238.29211017754
22,112238.76587529821
23,66526.94897807112
24,112238.30474822085
25,112237.8812181183
26,112238.30311150655
27,112238.72967825091
28,66527.03334574767
29,112238.76775364063
30,112268.62678437766
31,104249.68164758285
32,112238.76429451935
33,112238.76610089083
34,104249.72511280852
35,66532.42453703782
36,112203.75497143397
37,112238.74836470665
38,104249.72373913467
39,112238.76978935863
40,112239.32830003541
41,112240.65449864036
42,102462.72489818589
43,104249.72716626081
44,58537.91311051574
45,112238.33961997452
46,104249.72520241982
47,112238.76102846033
48,104249.728791621
49,66526.95369499997
50,112238.2941418997
51,112245.3429448907
52,104249.72493024038
53,112238.76217941011
54,112238.7448428608
55,112238.76754925156
56,112238.76369010037
57,112246.64320587771
58,112239.24341440432
59,112238.76562332113
60,112272.35937911984
61,104044.87661916371
62,102128.78740538108
63,112240.48505074793
64,112238.76628862397
65,112237.15734733675
66,112240.01170526762
67,150671.94989643933
68,101838.87133928153
69,157657.643858772
70,157418.07675670556
71,150222.0908891374
72,157266.47133726254
73,157187.65195315762
74,157119.84532832255
75,157051.18509013343
76,156978.31825191452
77,156906.56434795665
78,149991.28611968004
79,102575.15592372588
80,111059.30249128949
81,149919.26004921476
82,156651.60123352817
83,156552.88476161374
84,156504.91272784906
85,156496.8509896555
86,110619.59848553066
87,156281.42981085944
88,149883.79740901393
89,156131.96968282282
90,156049.83307698558
91,99662.15811809013
92,156328.59181732035
93,102571.08328104213
94,156499.72953713156
95,110731.85233557137
96,95714.9407392378
