,0
0,447740.01891530806
1,447615.41225837276
2,447493.2768464915
3,447373.3492577266
4,447249.3555046356
5,447140.21342693164
6,447024.54041821137
7,447125.89158689824
8,447379.6797181963
9,447637.4865097833
10,447899.4623936573
11,448165.2424914848
12,448437.56985763705
13,448713.3189532242
14,448993.59366787254
15,449278.5014071717
16,449573.54953617835
17,449862.53539322386
18,450159.9697779154
19,450462.4671514245
20,450769.99695132
21,451082.6049018299
22,451400.62985092297
23,451723.84410421306
24,452052.75595159514
25,452387.15495215263
26,452727.43397005345
27,453073.4969141197
28,453425.7137801979
29,453784.0445081218
30,454142.56777434546
31,454517.2681713605
32,454897.5933892478
33,455282.1538556329
34,455673.66206116625
35,456068.9436307469
36,456475.4160311065
37,456892.8601060711
38,457312.74331645353
39,457741.63112911955
40,458178.7023385337
41,458619.15337822074
42,1074566.6104001298
43,459421.12511640607
44,459777.96164556395
45,460251.9378901038
46,460737.39145916165
47,461232.35361408547
48,461737.071103759
49,462251.8066417936
50,462776.8293797744
51,463312.4419004113
52,463858.56879715633
53,464416.46859543654
54,464985.52536840946
55,465583.9027317194
56,466276.32502744225
57,466987.2753169913
58,467716.99130449584
59,468467.2809043167
60,469237.77518338093
61,470036.36187570135
62,1076772.9272551045
63,471497.3794113399
64,472600.0296124602
65,474396.91276328533
66,476267.810862591
67,478030.32380622736
68,1079150.5307082706
69,479096.3451879374
70,479749.68063599244
71,480664.7957261098
72,481621.2220645702
73,482575.54817152163
74,483383.247658386
75,483988.232740275
76,484596.1037467109
77,485221.66045201593
78,485861.3294221304
79,1444573.565097902
80,486525.6529744766
81,487204.6615439664
82,487857.7682954413
83,488581.20233420015
84,489315.90813726105
85,490065.9730034445
86,490828.50696674245
87,491573.67830072006
88,492386.3689128505
89,493222.9963182895
90,494140.0517320613
91,1107858.06370641
92,495577.33950419247
93,1463372.3214158243
94,495839.1963975186
95,496864.12636911636
96,1500253.5012667463
