,0
0,540597.5206032861
1,533462.4603206643
2,533462.686934093
3,533462.6733632616
4,532620.2603244312
5,540589.1523081105
6,540590.2245729113
7,540590.0900493669
8,540590.2162063159
9,532601.1756665285
10,540628.6706931883
11,540590.2263663909
12,540590.223125682
13,540590.2182683081
14,540589.8649396357
15,540074.1976235735
16,532601.0517501816
17,540590.2234526705
18,540590.1597942174
19,540590.2173180925
20,540590.2143787141
21,540589.7465414088
22,540590.2203065294
23,494878.40340930235
24,540589.7591794521
25,540589.3356493495
26,540589.7575427378
27,540590.1841094822
28,494878.48777697893
29,540590.2221848719
30,540613.3760734675
31,532601.136078814
32,540590.2187257506
33,540590.2205321221
34,532601.1795440398
35,494877.6826230178
36,540555.2094026653
37,540590.2027959379
38,532601.1781703659
39,540590.2242205899
40,540590.7827312667
41,540589.7089018153
42,1151830.7421158394
43,532601.1815974921
44,486889.367541747
45,540589.7940512057
46,532601.1796336512
47,540590.2154596916
48,532601.1832228522
49,494878.4081262312
50,540589.7485731309
51,540596.797376122
52,532601.1793614717
53,540590.2166106413
54,540590.199274092
55,540590.2219804828
56,540590.2181213317
57,540598.097637109
58,540590.6978456356
59,540590.2200545524
60,540623.8138103511
61,532396.331050395
62,1151790.144021886
63,540588.9712930245
64,540590.2207198553
65,540588.611778568
66,540588.4981163797
67,609418.6637281659
68,1151847.408916051
69,616609.7527947493
70,616489.8629554776
71,609410.6929789812
72,616586.417674605
73,616631.0392910673
74,616645.5782053161
75,616612.0613087694
76,616572.1852997218
77,616535.7844913054
78,609654.6346150564
79,1515274.9581853112
80,570758.7705738535
81,609437.9219907168
82,616420.6953093896
83,616362.2439740703
84,616349.8743160202
85,616380.5555845078
86,570541.5114275676
87,616242.0058113034
88,609883.9399664963
89,616171.4705337724
90,616133.4044657692
91,1155111.9737618582
92,616578.2253033544
93,1515277.5918600822
94,616743.4596900782
95,571019.9311566164
96,1515361.558127001
